rate_unemployment,percent_college,percent_married,median_income,percent_lunch,average_act
0.110720562390158,0.376673866090713,0.747093023255814,28110.0,0.518691588785047,
0.0437796424662532,0.731793265465936,0.786677908937605,69698.0,0.399810066476733,
0.0682505399568035,0.654661864745898,0.764705882352941,73531.0,0.102493074792244,19.5543345543346
0.125,0.489100055897149,0.507575757575758,38516.0,0.662881476224273,17.7374847374847
0.110280373831776,0.430116959064328,0.144,25510.0,0.53905325443787,18.2454212454212
0.0805060379528465,0.600970873786408,0.501883239171375,46250.0,0.349162011173184,17.034188034188
0.0583675330597355,0.497135301895108,0.936190476190476,62201.0,0.379061371841155,18.3870573870574
0.0756543564001434,0.526690391459075,0.578683834048641,66518.0,0.655058043117745,15.5445665445665
0.0690310322989234,0.604437229437229,0.809935205183585,59938.0,0.384615384615385,14.980463980464
0.204864359214219,0.444255319148936,0.583471074380165,38250.0,0.803131991051454,15.1050061050061
0.0301507537688442,0.983492615117289,0.79,89583.0,0.452177817691962,17.8522588522588
0.185730464326161,0.301611903285803,0.517258629314657,31766.0,0.795608108108108,18.008547008547
0.112087912087912,0.63622210690192,0.561170212765957,48438.0,0.595854922279793,16.0720390720391
0.0849673202614379,0.586980920314254,0.643428063943162,50739.0,0.289752650176678,17.1782661782662
0.0906466512702079,0.287543082225505,0.589559877175026,41339.0,0.70989010989011,16.1648351648352
0.0386435331230284,0.823634053367217,0.918421052631579,101058.0,0.405782137325761,17.2905982905983
0.13016157989228,0.493880489560835,0.760526315789474,58512.0,0.263313609467456,
0.035497572815534,0.559609455292909,0.691364333163005,50868.0,0.211886304909561,18.3137973137973
0.0833859759949463,0.495735072754641,0.496042216358839,47333.0,0.996640537513998,18.970695970696
0.0537944284341979,0.659556313993174,0.493540051679587,69318.0,0.616895874263261,
0.028169014084507,0.564321250888415,0.776155717761557,49519.0,0.416808149405772,15.5714285714286
0.0592447916666667,0.429601923590703,0.571428571428571,42228.0,0.523529411764706,
0.0613463626492942,0.508137432188065,0.666013712047013,51667.0,0.53464322647363,18.7704517704518
0.0964998364409552,0.780763790664781,0.883092394720302,90017.0,0.596615720524017,
0.0486048604860486,0.279005524861878,0.442148760330579,26197.0,0.771708683473389,17.026862026862
0.0329320113314448,0.940719830628088,0.735812133072407,57938.0,0.144696505211527,15.996336996337
